ID;Sigla;Nome;Palavra-chave;Método;Complemento;Região do corpo;Incidência;Material
1;11DESOXI;11-Desoxicortisol, soro;11-Desoxicortisol;;;;;soro
2;17ALFAHP;17 Alfa hidroxi progesterona, soro;17 Alfa-hidroxi-progesterona;;;;;soro
7;17PACTH;17 Alfa-hidroxi-progesterona, após estímulo com ACTH, soro;17 Alfa-hidroxi-progesterona;;após estímulo com ACTH;;;soro
13;3AFANDRO;Glucoronato de 3 Alfa Androstanediol, soro;Glucoronato de 3 Alfa Androstanediol;;;;;soro
14;5HIAA;Ácido 5 hidroxi indol acético, urina;Ácido 5 hidroxi indol acético;;;;;urina
16;AACARDIO;Cardiolipina, Anticorpos IgG e IgM, soro;Cardiolipina;;Anticorpos IgG e IgM;;;soro
18;AACOXB;Coxsackie B, Anticorpos, Vários Materiais;Coxsackie B;;Anticorpos;;;
19;AACTINA;Actina, Anticorpos totais, soro;Actina;;Anticorpos totais;;;soro
20;AADNA;DNA, Anticorpos totais, soro;DNA;;Anticorpos totais;;;soro
22;AAENTHIS;Entamoeba histolytica, Anticorpos, soro;Entamoeba histolytica;;Anticorpos;;;soro
23;AAEPITE;Epitélio, Anticorpos totais, soro;Epitélio;;Anticorpos totais;;;soro
24;AAESPERM;Espermatozóides, Anticorpos IgG e IgA, soro;Espermatozóides;;Anticorpos IgG e IgA;;;soro
25;AAFEBREQ;Coxiella burnetii, Anticorpos, soro;Coxiella burnetii;;Anticorpos;;;soro
26;AAFIG;Fígado, Anticorpos Anti, soro;Fígado;;Anticorpos Anti;;;soro
27;AAGAD;Descarboxilase do Ácido Glutâmico, Anticorpos, soro;Descarboxilase do Ácido Glutâmico;;Anticorpos;;;soro
28;AAGH;Hormônio de Crescimento, Anticorpos, soro;Hormônio de Crescimento;;Anticorpos;;;soro
29;AAGLIAD;Gliadina, Anticorpos IgG e IgA, soro;Gliadina;;Anticorpos IgG e IgA;;;soro
31;AAGM1;Gangliosídeos, Anticorpos, soro;Gangliosídeos;;Anticorpos;;;soro
32;AAGRANU;Granulócitos, Anticorpos, soro;Granulócitos;;Anticorpos;;;soro
33;AAGVIREB;Epstein-Barr Vírus, Anticorpo Anti Antígeno Precoce, soro;Epstein-Barr Vírus;;Anticorpo Anti Antígeno Precoce;;;soro
35;AAICA512;ICA 512, Anticorpos, soro;ICA 512;;Anticorpos;;;soro
37;AAINFLU;Haemophilus influenzae B, Anticorpos, soro;Haemophilus influenzae B;;Anticorpos;;;soro
38;AAINS;Insulina, Anticorpos, soro;Insulina;;Anticorpos;;;soro
39;AAJO1;JO-1, Anticorpos, soro;JO-1;;Anticorpos;;;soro
40;AALA;La/SSB, Anticorpos, soro;La/SSB;;Anticorpos;;;soro
41;AALEGION;Legionella pneumophila, Anticorpos totais, soro;Legionella pneumophila;;Anticorpos totais;;;soro
43;AALOUIS;Saint Louis, Encefalite, Anticorpos, soro;Saint Louis, Encefalite;;Anticorpos;;;soro
44;AAMAG;Glicoproteína associada à Mielina, Anticorpos, soro;Glicoproteína associada à Mielina;;Anticorpos;;;soro
45;AAMIELIN;Mielina, Anticorpos, soro;Mielina;;Anticorpos;;;soro
46;AAMIOC;Coração, Anticorpos totais, soro;Coração;;Anticorpos totais;;;soro
47;AAMITOCO;Mitocôndria, Anticorpos Anti, soro;Mitocôndria;;Anticorpos Anti;;;soro
48;AAMITOEL;Mitocôndria, Fração M2, Anticorpos totais, soro;Mitocôndria, Fração M2;;Anticorpos totais;;;soro
49;AAMITOIF;Mitocôndria, em cortes de rim de ratos, Anticorpos totais, soro;Mitocôndria, em cortes de rim de ratos;;Anticorpos totais;;;soro
50;AAMUCGAS;Mucosa Gástrica, Anticorpos totais, soro;Mucosa Gástrica;;Anticorpos totais;;;soro
52;AAMUSEST;Músculo Estriado, Anticorpos totais, soro;Músculo Estriado;;Anticorpos totais;;;soro
54;AAMUSLIS;Músculo Liso, Anticorpos totais, soro;Músculo Liso;;Anticorpos totais;;;soro
55;AAOVARIO;Ovário, Anticorpos, soro;Ovário;;Anticorpos;;;soro
56;AAPARVO;Eritrovírus B19, Anticorpos IgG e IgM, soro;Eritrovírus B19;;Anticorpos IgG e IgM;;;soro
57;AAPLAQ;Plaquetas, Anticorpos, soro;Plaquetas;;Anticorpos;;;soro
58;AAPM1;PM/Scl, Anticorpos, soro;PM/Scl;;Anticorpos;;;soro
59;AAPNEU;Pneumococos, Anticorpos, soro;Pneumococos;;Anticorpos;;;soro
60;AAPOLIO;Poliomielite, Anticorpos, soro;Poliomielite;;Anticorpos;;;soro
62;AAPYLORI;Helicobacter pylori, Anticorpo IgG, soro;Helicobacter pylori;;Anticorpo IgG;;;soro
65;AARNP;RNP, Anticorpos, soro;RNP;;Anticorpos;;;soro
66;AARO;RO/SSA, Anticorpos, soro;RO/SSA;;Anticorpos;;;soro
67;AAROLA;Ro/SSA e La/SSB, Anticorpos, soro;Ro/SSA e La/SSB;;Anticorpos;;;soro
68;AASCL70;SCL-70, Anticorpos, soro;SCL-70;;Anticorpos;;;soro
69;AASM;Sm, Anticorpos, soro;Sm;;Anticorpos;;;soro
70;AAT;Tiroide, Anticorpos (p/dosagem de TG), soro;Tiroide;;Anticorpos (p/dosagem de TG);;;soro
72;AATIRO;Tiroide, Anticorpos, soro;Tiroide;;Anticorpos;;;soro
73;AATPO;Tiroperoxidase, Anticorpos, soro;Tiroperoxidase;;Anticorpos;;;soro
75;ABFI;Fator Intrínseco, Anticorpos Bloqueadores, soro;Fator Intrínseco;;Anticorpos Bloqueadores;;;soro
77;ABSLACT;Lactose, Prova de Absorção, plasma;Lactose;;Prova de Absorção;;;plasma
78;ABSSAC;Sacarose, Prova de Absorção, plasma;Sacarose;;Prova de Absorção;;;plasma
80;ABSXILO;D-Xilose, Prova de Absorção, plasma;D-Xilose;;Prova de Absorção;;;plasma
83;ACASCORB;Ácido Ascórbico, plasma;Ácido Ascórbico;;;;;plasma
84;ACBILTOT;Ácidos Biliares Totais, dosagem, soro;Ácidos Biliares Totais;;dosagem;;;soro
86;ACHIPUR;Ácido Hipúrico, dosagem, urina;Ácido Hipúrico;;dosagem;;;urina
90;ACOREG;Hepatite B, Anticorpos totais contra Antígeno Central, soro;Hepatite B;;Anticorpos totais contra Antígeno Central;;;soro
91;ACOREM;Hepatite B, Anticorpo IgM contra Antígeno Central, soro;Hepatite B;;Anticorpo IgM contra Antígeno Central;;;soro
93;ACORGAUR;Ácidos Orgânicos, urina;Ácidos Orgânicos;;;;;urina
94;ACOROTUR;Ácido Orótico, urina;Ácido Orótico;;;;;urina
96;ACTH;ACTH, plasma;ACTH;;;;;plasma
97;ACUR;Ácido Úrico, soro;Ácido Úrico;;;;;soro
99;ACURUR;Ácido Úrico, urina;Ácido Úrico;;;;;urina
101;ACVALP;Ácido Valpróico, soro;Ácido Valpróico;;;;;soro
102;ADA;Adenosina Deaminase, Vários Materiais;Adenosina Deaminase;;;;;
105;ADENOV;Adenovírus, Anticorpos totais, soro;Adenovírus;;Anticorpos totais;;;soro
106;ADH;Arginina Vasopressina, plasma;Arginina Vasopressina;;;;;plasma
109;AFGALACT;Alfa-Galactosidase, plasma;Alfa-Galactosidase;;;;;plasma
111;AFTRIFEN;Alfa-1 Antitripsina, Fenotipagem, soro;Alfa-1 Antitripsina;;Fenotipagem;;;soro
112;AFTRIPF;Alfa-1 Antitripsina, fezes;Alfa-1 Antitripsina;;;;;fezes
117;AGLT;Ácidos Graxos Livres Totais, soro;Ácidos Graxos Livres Totais;;;;;soro
118;AGLUTRH;Aglutininas anti-Rh, soro;Aglutininas anti-Rh;;;;;soro
119;AGREPLA;Agregação Plaquetária, Avaliação, sangue total;Agregação Plaquetária;;Avaliação;;;sangue total
124;AGULHAMA;Agulhamento, por Mamografia;Agulhamento;;por Mamografia;;;
125;AHAG;Hepatite A, Anticorpos totais, soro;Hepatite A;;Anticorpos totais;;;soro
126;AHAM;Hepatite A, Anticorpo IgM, soro;Hepatite A;;Anticorpo IgM;;;soro
127;AHBE;Hepatite B, Anticorpo anti E, soro;Hepatite B;;Anticorpo anti E;;;soro
128;AHBS;Hepatite B, Anticorpo contra antígeno de superfície, soro;Hepatite B;;Anticorpo contra antígeno de superfície;;;soro
129;AHEG;Hepatite E, Anticorpos IgG e IgM, soro;Hepatite E;;Anticorpos IgG e IgM;;;soro
130;AL;Alumínio, dosagem, plasma;Alumínio;;dosagem;;;plasma
131;ALA;Ácido Delta Amino Levulínico, urina;Ácido Delta Amino Levulínico;;;;;urina
132;ALACHR;Acetilcolina, Ligadores do Receptor, Anticorpos, soro;Acetilcolina;;Ligadores do Receptor, Anticorpos;;;soro
135;ALB;Albumina, soro;Albumina;;;;;soro
141;ALDOLASE;Aldolase, soro;Aldolase;;;;;soro
142;ALDOST;Aldosterona, soro;Aldosterona;;;;;soro
143;ALDOUR;Aldosterona, urina;Aldosterona;;;;;urina
145;ALFAFT;Alfa Fetoproteína, soro;Alfa Fetoproteína;;;;;soro
146;ALFAGLIC;Alfa 1 Glicoproteína Ácida, soro;Alfa 1 Glicoproteína Ácida;;;;;soro
147;ALFATRIP;Alfa-1 Antitripsina, soro;Alfa-1 Antitripsina;;;;;soro
148;ALFFTLCR;Alfa Fetoproteína, líquor;Alfa Fetoproteína;;;;;líquor
150;ALUR;Alumínio, urina;Alumínio;;;;;urina
151;AMACHR;Acetilcolina, Anticorpos moduladores do receptor, soro;Acetilcolina;;Anticorpos moduladores do receptor;;;soro
152;AMEBAAG;Entamoeba histolytica, Antígeno, fezes;Entamoeba histolytica;;Antígeno;;;fezes
153;AMEBAX;Entamoeba histolytica, Antígeno, abscesso hepático;Entamoeba histolytica;;Antígeno;;;abscesso hepático
155;AMEMGLOM;Membrana Basal Glomerular, Anticorpos, soro;Membrana Basal Glomerular;;Anticorpos;;;soro
157;AMIL;Amilase, soro;Amilase;;;;;soro
162;AMILUR;Amilase, urina;Amilase;;;;;urina
163;AMILURG;Amilase, plasma;Amilase;;;;;plasma
170;AMIODARO;Amiodarona, soro;Amiodarona;;;;;soro
171;AMITRIP;Amitriptilina, dosagem, soro;Amitriptilina;;dosagem;;;soro
172;AMONIA;Amônia, plasma;Amônia;;;;;plasma
199;ANATPATP;Anatomopatológico, peça pequena, Vários Materiais;Anatomopatológico;;peça pequena;;;
200;ANATPATR;Anatomopatológico, peça radical;Anatomopatológico;;peça radical;;;
201;ANCA;Citoplasma de Neutrófilos, Anticorpos totais, soro;Citoplasma de Neutrófilos;;Anticorpos totais;;;soro
206;ANDRO;Androstenediona, soro;Androstenediona;;;;;soro
214;ANFETUR;Anfetaminas, pesquisa, urina;Anfetaminas;;pesquisa;;;urina
218;ANSWAB;Anal swab, região peri-anal;Anal swab;;;;;região perianal
219;ANTEBRA;Densitometria óssea, de, Antebraço;;Densitometria óssea;de;antebraço;;
220;ANTHTLV1;HTLV1 e 2, Anticorpos, líquor;HTLV1 e 2;;Anticorpos;;;líquor
221;ANTIB;Antibiograma, Vários Materiais;Antibiograma;;;;;
222;ANTIBACX;Antígenos bacterianos, Vários Materiais;Antígenos bacterianos;;;;;
223;ANTIBANA;Antibiograma, para microrganismos anaeróbios, Vários Materiais;Antibiograma;;para microrganismos anaeróbios;;;
226;ANTIBFUN;Antibiograma, para Fungos, Vários Materiais;Antibiograma;;para Fungos;;;
227;ANTIBMYC;Antibiograma, para Mycoplasma, Vários Materiais;Antibiograma;;para Mycoplasma;;;
