ID;Sinônimo
1;11 DESOXI CORTISOL
1;11-DESOXICORTISOL
1;ADRENAL, 11-DESOXICORTISOL
1;COMPOSTO S
1;CORTISOL, PRECURSOR DO
1;CUSHING, 11-DESOXICORTISOL
1;DEFEITO DA 11 BETA HIDROXILASE, 11 DESOXICORTISOL
1;DEFEITO DE SINTESE ADRENAL, 11 DESOXICORTISOL
2;17 ALFA HIDROXI PROGESTERONA
2;17 HIDROXI PROGESTERONA
2;HIDROXIPROGESTERONA
2;PREGNANETRIOL (METABOLITO URINARIO)
2;PROGESTERONA, 17 ALFA HIDROXI
2;17 OH Progesterona
2;17OHP, SANGUE
7;17 ALFA HIDROXI PROGESTERONA APOS ACTH
7;17 ALFA HIDROXI PROGESTERONA, POS ACTH
7;17 ALFA HIDROXI PROGESTERONA, POS CORTROSINA
7;17 ALFA OH PROGESTERONA, POS ACTH
7;17 ALFA OH PROGESTERONA, POS ACTH, PROVA
7;17 ALFA OH PROGESTERONA, POS CORTROSINA
7;ADRENAL, POS ACTH P/DOSAR 17 ALFA OH PROGEST
7;DEFEITO DA 21 HIDROXILASE, 17 ALFA OHP POS ACTH
7;DEFEITO DE SINTESE ADRENAL, 17 ALFA OHP POS ACTH
7;HIRSUTISMO, POS ACTH P/DOSAR 17 ALFA OH PROGEST
7;PROGESTERONA, 17 ALFA OH, PV ESTIM C/ACTH P/DOSAR
7;TESTE DE ESTÍMULO COM ACTH PARA AVALIAÇÃO DA DEFICIÊNCIA DE 21-HIDROXILASE
7;17 OH PROGESTERONA, APÓS O ESTÍMULO COM ACTH, SORO
7;17 OH PROGESTERONA, APOS ESTIMULO COM CORTROSINA, SORO
13;3 ALFA DIOL
13;3 ALFA DIOL GLUCORONIDE
13;ANDROGENO, GLUCURONATO 3 ALFA 17 BETA DIOL
13;ANDROSTENEDIOL, GLUCURONATO DE 3 ALFA 17 BETA
13;Glucoronato de 3 Alfa 17 Beta Androstenediol
14;5 OH INDOL ACETICO NA URINA
14;ACIDO 5 HIDROXI INDOL ACETICO
14;TUMOR CARCINOIDE - ACIDO 5 OH INDOL ACETICO NA URINA
14;Metabolismo da Serotonina - ácido 5-hidroxiindolacético (5HIAA) na urina
16;ACL (IGG) E ACL (IGM)
16;CARDIOLIPINA, ANTICORPOS ANTI, QUANTITATIVO
16;LÚPUS, ANTICORPOS ANTI CARDIOLIPINA
16;TROMBOSE, ANTICORPOS ANTI CARDIOLIPINA
16;ANTICORPOS ANTI CARDIOLIPINA
18;COXSACKIE B, ANTICORPOS NEUTRALIZANTES ANTI VÍRUS
18;COXSACKIE B1 B2 B3 B4 B5 B6, ANTICORPOS ANTI
18;COXSACKIE, SOROLOGIA P/
18;ENTEROVÍRUS, SOROLOGIA P/ COXSACKIE B
19;ANTI-ACTINA, ANTICORPOS
19;Hepatite Auto-Imune, Anticorpos Anti-Actina
20;ANTI-DNA NATIVO
20;DNA DUPLA HÉLICE
20;DNA NATIVO, ANTICORPOS ANTI
20;DNA, ANTICORPOS ANTI, QUANTITATIVOS
20;DS DNA, ANTICORPOS ANTI
20;DUPLA HÉLICE, DNA ANTICORPOS
20;LÚPUS, ANTICORPOS ANTI-DNA
20;Anti-DNA Double Stranded ou SD-DNA ou SDDNA
22;AMEBA, SOROLOGIA
22;AMEBIASE, ANTICORPOS ANTI ENTAMOEBA HISTOLYTICA
22;ENTAMOEBA, SOROLOGIA
23;PELE, ANTICORPOS ANTI
23;Imunofluorescência indireta para Pênfigo no sangue
24;ESPERMA, ANTICORPOS ANTI
24;ESPERMATOZOIDES, ANTICORPOS ANTI
24;ESPERMATOZOIDES, ANTICORPOS ANTI NO MUCO CERVICAL
24;INFERTILIDADE, ANTICORPOS ANTI ESPERMATOZOIDES
24;Imunobead Indireto
24;Mixed Antiglobulin Reaction Test
24;MAR Test
25;COXIELA BURNETTI, SOROLOGIA PARA
25;COXIELLA BURNETII (FEBRE Q), ANTICORPOS, SORO
25;COXIELLA BURNETII, FEBRE Q, ANTICORPOS ANTI
25;Febre Q, anticorpos IgG e IgM, soro
25;Febre Q, Sorologia para
25;Coxiella burnetii, Anticorpos IgG e IgM, soro
26;HEPATITE AUTO-IMUNE, ANTICORPOS ANTI FÍGADO
26;HEPATITE AUTO-IMUNE, PERFIL PARA
26;Anticorpos anti fígado
27;ACIDO GLUTAMICO, ANTICORPOS ANTI DECARBOXILASE DO
27;DECARBOXILASE DO ACIDO GLUTAMICO, ANTICORPOS ANTI
27;GAD, ANTICORPOS ANTI
27;GAD, Anticorpos
27;Descarboxilase do Ácido Glutâmico, Anticorpos
27;Anticorpos anti-GAD 67
27;Anticorpos anti-GAD 65
27;ANTICORPOS ANTI GAD
28;CRESCIMENTO, ANTICORPOS ANTI HORMONIO DE
28;GH, ANTICORPOS ANTI
28;HORMONIO DE CRESCIMENTO, ANTICORPOS ANTI
29;GLIADINA, ANTICORPOS ANTI, QUANTITATIVO
31;ANTI-GM1
31;ANTICORPOS ANTI-GM1
31;GANGLIOSIDEOS, ANTICORPOS ANTI
31;Gangliosídeos, Anticorpos
31;GM1, Anticorpos
32;FELTY, SINDROME, ANTICORPOS ANTI GRANULOCITOS
32;GRANULOCITOS, ANTICORPOS ANTI
32;LEUCOCITARIOS, ANTICORPOS ANTI
32;LEUCOCITOS, ANTICORPOS ANTI
32;LEUCOCITOS, ANTICORPOS ANTI GRANULOCITOS
32;LUPUS, ANTICORPOS ANTI GRANULOCITOS
32;NEUTROFILOS, ANTICORPOS ANTI
32;Granulócitos, Anticorpos
33;ANTI-EA
33;EBV, ANTICORPOS ANTI ANTÍGENO PRECOCE
33;FADIGA CRÔNICA, SÍNDROME,ANTI ANTÍGENO PRECOCE
33;VÍRUS EB, ANTICORPOS ANTI ANTÍGENO PRECOCE
35;ANTICORPO ANTI-TIROSINA FOSFATASE 512
35;TIROSINA FOSFATASE 512, ANTICORPO ANTI
35;ICA 512, Anticorpos
35;Anticorpos anti-IA2
35;Anticorpos antitirosinoquinase 512
35;ANTICORPOS ANTI ICA
37;HAEMOPHILUS INFLUENZAE, SOROLOGIA, QUANTITATIVA
37;HAEMOPHILUS INFLUENZAE B, ANTICORPOS
37;SOROLOGIA PARA HAEMOPHILUS INFLUENZAE
37;Sorologia para Hemófilo (Haemophilus influenzae)
38;DIABETES, ANTICORPOS ANTI INSULINA
38;INSULINA, ANTICORPOS ANTI
38;Insulina, Anticorpos
38;Anticorpos anti-insulina
38;IAA (insulin autoantibody)
38;Anti-IAA
39;ANTI JO-1, QUANTITATIVO
39;DERMATOMIOSITE, ANTICORPOS ANTI JO-1
39;HISTIDYL-TRNA SYNTHETASE, ANTICORPOS
39;POLIMIOSITE, ANTICORPOS ANTI JO-1
40;Anticorpos anti-La
40;Anticorpos anti-SS-B
40;Anti-SS-B
41;DOENÇA DOS LEGIONÁRIOS, SOROLOGIA
41;LEGIONELLA PNEUMOPHILA, SOROLOGIA
41;LEGIONELA, PESQ DE ANTICORPOS ANTI
41;PESQUISA DE ANTICORPOS ANTI-LEGIONELLA
41;Legionela pneumophila, Anticorpo IgG
41;LEGIONELA PNEUMOPHILA, SOROLOGIA
43;ARBOVIRUS, ANTI VIRUS ENCEFALITE SAINT LOUIS
43;ENCEFALITE SAINT LOUIS, ANTICORPOS ANTI VIRUS DA
43;SAINT LOUIS, ANTIC ANTI VIRUS DA ENCEFALITE DE
43;Saint Louis, Encefalite, Anticorpos
44;ANTI-MAG, ANTICORPOS, PESQUISA DE
44;GLICOPROTEINA ASSOCIADA A MIELINA
44;MAG, ANTICORPOS
44;MAG, PESQUISA DE ANTICORPOS
44;Glicoproteína associada à Mielina, Anticorpos
45;ANTI-MIELINA, PESQUISA DE ANTICORPOS
45;MIELINA, ANTICORPOS ANTI
45;MIELINA, ANTICORPOS, IGG
45;Mielina, Anticorpos
45;Esclerose múltipla, anticorpos antimielina
46;CORAÇÃO, ANTICORPOS ANTI
46;FEBRE REUMÁTICA, ANTICORPOS ANTI MIOCÁRDIO
46;MIOCÁRDIO, ANTICORPOS ANTI
46;MÚSCULO CARDÍACO, ANTICORPOS ANTI
47;AMA
47;CIRROSE BILIAR PRIMÁRIA, ANTIC ANTI MITOCÔNDRIA
47;HEPATITE CRÔNICA, ANTICORPOS ANTI MITOCÔNDRIA
47;PIRUVATO DEHIDROGENASE M2 + IMUNOFL INDIRETA
47;Anticorpos anti mitocôndria, Quantitativo
47;ANTICORPOS ANTIMITOCÔNDRIA
48;CIRROSE BILIAR PRIMÁRIA, ANTIC ANTI MITOCÔNDRIA M2
48;HEPATITE CRÔNICA ATIVA, ANTIC ANTI MITOCÔNDRIA M2
48;MITOCÔNDRIA, ANTICORPOS ANTI FRAÇÃO M2 DA
48;PIRUVATO DEHIDROGENASE M2
48;Subunidade E2 do complexo piruvato dehidrogenase
48;ANTICORPOS ANTI MITOCONDRIA POR ELISA
48;ANTIC ANTI MITOCONDRIA POR ELISA
48;CIRROSE BILIAR PRIMARIA, ANTIC ANTI MITOCONDRIA POR ELISA
48;ANTI MITOCÔNDRIA M2
48;ANTI MITOCÔNDRIA FRAÇÃO M2
49;CIRROSE BILIAR PRIMÁRIA, ANTI MITOC, RIM DE RATO
49;MITOCÔNDRIA EM CORTES RIM DE RATO, ANTICORPOS ANTI
49;ANTICORPOS ANTI MITOCONDRIA POR IFI
49;ANTIC ANTI MITOCONDRIA POR IMUNOFLUORESCENCIA
49;CIRROSE BILIAR PRIMARIA, ANTIC ANTI MITOCONDRIA POR IFI
50;ANEMIA PERNICIOSA, ANTICORPOS ANTI MUCOSA GASTRICA
50;ANTICORPOS ANTIMUCOSA GASTRICA
50;CELULAS GASTRICAS PARIETAS, ANTICORPOS ANTI
50;CELULAS PARIETAIS, ANTICORPOS ANTI
50;GASTRITE ATROFICA, ANTICORPOS ANTI MUCOSA GASTRICA
50;MUCOSA GASTRICA, ANTICORPOS ANTI
50;Parietais, Células Gástricas, Anticorpos totais
50;Célula parietal, anticorpos anti
50;Anticorpos anticélula parietal
52;MIASTENIA GRAVIS, ANTICORPOS ANTI MUSCULO
52;MUSCULO ESQUELETICO, ANTICORPOS ANTI
52;MUSCULO ESTRIADO, ANTICORPOS ANTI
52;Músculo Estriado, Anticorpos totais
54;HEPATITE CRÔNICA ATIVA AUTO-IMUNE, ANTI MÚSC LISO
54;MÚSCULO LISO, ANTICORPOS ANTI
